disease,cell_type,down_genes,down_reg_scores,up_genes,up_reg_scores
DOID:4829,Primary lung tumor and Normal lung,"['SPARCL1' 'MRC1' 'TEK' 'GGTA1P' 'CH25H' 'EMCN' 'FIGF' 'GPR183' 'SELE'
 'CPB2' 'ATP1A2' 'EGR2' 'MNDA' 'P2RY14' 'A2M' 'PRG4' 'C11orf96' 'PROK2'
 'CYP4B1' 'DEFA3']","['-0.341171532869339' '-0.2157880812883377' '-0.20456868410110474'
 '-0.19608274102210999' '-0.18056558072566986' '-0.1483267992734909'
 '-0.14656220376491547' '-0.13729897141456604' '-0.1370943784713745'
 '-0.12200447916984558' '-0.1172633245587349' '-0.11441930383443832'
 '-0.10696674138307571' '-0.1052212119102478' '-0.10509942471981049'
 '-0.1049569696187973' '-0.10071390867233276' '-0.09031683206558228'
 '-0.07832679897546768' '-0.07684031128883362']","['THBS2' 'MMP12' 'S100A8' 'POSTN' 'COL11A1' 'ASPN' 'MMP13' 'POU2AF1'
 'COL10A1' 'SERPINB3' 'KRT6B' 'SERPINB4' 'SULF1' 'AGR3' 'COL3A1'
 'TNFRSF17' 'GIMAP4' 'CLCA2' 'MMP10' 'HIST1H1A']","['0.2855437397956848' '0.22828346490859985' '0.20140673220157623'
 '0.18461810052394867' '0.16391462087631226' '0.12420348823070526'
 '0.10428114235401154' '0.0950753316283226' '0.08658389747142792'
 '0.08005176484584808' '0.07106740027666092' '0.06450171023607254'
 '0.06285630166530609' '0.06267935037612915' '0.062288884073495865'
 '0.05858694761991501' '0.055534347891807556' '0.055440645664930344'
 '0.05511387065052986' '0.054086167365312576']"
DOID:4556,Primary lung tumor and Normal lung,"['SPARCL1' 'TEK' 'MRC1' 'GGTA1P' 'CH25H' 'A2M' 'EMCN' 'FIGF' 'SELE' 'CPB2'
 'ATP1A2' 'GPR183' 'EGR2' 'MNDA' 'PRG4' 'C11orf96' 'P2RY14' 'COL6A6'
 'CYP4B1' 'PROK2']","['-0.43133798241615295' '-0.24133886396884918' '-0.23617355525493622'
 '-0.2174372375011444' '-0.20177751779556274' '-0.19268392026424408'
 '-0.17658938467502594' '-0.17363031208515167' '-0.15617765486240387'
 '-0.15438930690288544' '-0.14433540403842926' '-0.14386694133281708'
 '-0.14355254173278809' '-0.14290548861026764' '-0.13743457198143005'
 '-0.12506309151649475' '-0.11866020411252975' '-0.10569214820861816'
 '-0.10132833570241928' '-0.09975489974021912']","['CXCL13' 'MMP12' 'POSTN' 'CXCL9' 'THBS2' 'TNFRSF17' 'GIMAP4' 'CD48'
 'COL11A1' 'CD163' 'ADAMDEC1' 'POU2AF1' 'GIMAP5' 'MXRA5' 'CD3G' 'SULF1'
 'AIF1' 'IGHA1' 'TIGIT' 'COL1A2']","['0.09294886887073517' '0.06920132040977478' '0.06312591582536697'
 '0.055656272917985916' '0.05230957269668579' '0.04119866341352463'
 '0.0383925698697567' '0.03360909968614578' '0.030776577070355415'
 '0.029579292982816696' '0.028953060507774353' '0.02802528254687786'
 '0.026755936443805695' '0.025886153802275658' '0.024815330281853676'
 '0.022811926901340485' '0.022303082048892975' '0.017492907121777534'
 '0.01693682000041008' '0.016734590753912926']"
DOID:0050872,Primary lung tumor and Normal lung,"['SPARCL1' 'MRC1' 'GGTA1P' 'TEK' 'A2M' 'CH25H' 'EMCN' 'MNDA' 'GPR183'
 'FIGF' 'SELE' 'CPB2' 'EGR2' 'ATP1A2' 'C11orf96' 'P2RY14' 'PRG4' 'COL6A6'
 'IGJ' 'CD2']","['-0.38470926880836487' '-0.23089584708213806' '-0.22969242930412292'
 '-0.22233019769191742' '-0.1934027522802353' '-0.18612658977508545'
 '-0.1802920699119568' '-0.17338190972805023' '-0.1710936427116394'
 '-0.14720426499843597' '-0.13776789605617523' '-0.1292034089565277'
 '-0.12429738789796829' '-0.11850560456514359' '-0.10948703438043594'
 '-0.10802002251148224' '-0.10479352623224258' '-0.10107376426458359'
 '-0.09367059171199799' '-0.09322819113731384']","['MMP12' 'SLC38A11' 'THBS2' 'POSTN' 'COL11A1' 'F5' 'POU2AF1' 'SULF1'
 'KLK12' 'MXRA5' 'LOC100422737' 'ADAMDEC1' 'IBSP' 'FNDC1' 'LPPR1' 'SMOC2'
 'ASPN' 'KIAA1257' 'TDRD9' 'RET']","['0.21023471653461456' '0.10855574160814285' '0.06827711313962936'
 '0.04548674449324608' '0.04069553688168526' '0.03271286189556122'
 '0.032099202275276184' '0.02855583094060421' '0.026235457509756088'
 '0.02272161841392517' '0.021456727758049965' '0.020982028916478157'
 '0.0185401551425457' '0.017926929518580437' '0.016245447099208832'
 '0.01600939780473709' '0.015887347981333733' '0.015606042928993702'
 '0.015294867567718029' '0.014278363436460495']"
DOID:4450,Blood myelomonocytic cells from RCC and Healthy blood myelomonocytic cells,"['MMP9' 'ITGB2' 'LIPA' 'ARHGDIB' 'CXCL5' 'TUBA1B' 'TMSB10' 'LAMP1'
 'ATP6AP1' 'ATP5B' 'CYP27A1' 'FABP4' 'GLRX' 'LTA4H' 'ENO1' 'NPC2' 'OAZ1'
 'TFRC' 'CSF1R' 'PLA2G7']","['-0.20456521213054657' '-0.18619954586029053' '-0.17431095242500305'
 '-0.121169812977314' '-0.12104111909866333' '-0.1032659038901329'
 '-0.10276307910680771' '-0.1014690026640892' '-0.10134078562259674'
 '-0.10065161436796188' '-0.10019741952419281' '-0.09122471511363983'
 '-0.08779197186231613' '-0.08696502447128296' '-0.08301959186792374'
 '-0.08284316956996918' '-0.0818963423371315' '-0.07668359577655792'
 '-0.07624927908182144' '-0.07581176608800888']","['BTG1' 'HLA-DRA' 'PPP1R15A' 'SRGN' 'DUSP1' 'FCN1' 'S100A10' 'HAVCR2'
 'NRIP3' 'SERPINB2' 'CCL3L3' 'BASP1' 'ANXA1' 'CXCL8' 'S100A9' 'GBP2'
 'TMEM158' 'TPT1' 'LINC00936' 'S100A8']","['0.15826284885406494' '0.14153584837913513' '0.13197070360183716'
 '0.12925311923027039' '0.12163498252630234' '0.1178230345249176'
 '0.11067094653844833' '0.10999859124422073' '0.1089826449751854'
 '0.108323834836483' '0.10182051360607147' '0.10055982321500778'
 '0.08362048864364624' '0.08222238719463348' '0.08038347959518433'
 '0.07870908081531525' '0.07631053030490875' '0.07582689821720123'
 '0.07412422448396683' '0.07231415808200836']"
DOID:0050742,lymphoblast cell lines,"['LDHA' 'RPS18' 'PTMA' 'RPL4' 'RPL9' 'LOC728868' 'TMSB4X' 'HLA-DRA'
 'HSP90AB1' 'RPL26' 'PSME2' 'LGMN' 'TUBA1B' 'ATP5O' 'UBC' 'ACTB' 'HMGN2'
 'RPS23' 'RPS4X' 'TSGA13']","['-0.2252679318189621' '-0.1755167543888092' '-0.16512241959571838'
 '-0.14619119465351105' '-0.14340242743492126' '-0.12507599592208862'
 '-0.12067805975675583' '-0.10551057010889053' '-0.09979836642742157'
 '-0.09081409871578217' '-0.09038908034563065' '-0.08812323212623596'
 '-0.08543409407138824' '-0.08485012501478195' '-0.07963486015796661'
 '-0.0774279236793518' '-0.07291218638420105' '-0.07109421491622925'
 '-0.0659288540482521' '-0.06589745730161667']","['GPI' 'ENO1' 'RPS4Y1' 'IGHV3-71' 'RPL38' 'GAPDHP1' 'IGKV1D-43' 'HNRNPF'
 'RPS11' 'TAP1' 'LCP1' 'RPL37A' 'CLTC' 'POU2AF1' 'SF3B1' 'HLA-DRB5'
 'MAP2K1' 'DDX5' 'CALM1' 'CCND2']","['0.1783503144979477' '0.17615284025669098' '0.17485933005809784'
 '0.15027762949466705' '0.1452029049396515' '0.1338999718427658'
 '0.1325618028640747' '0.10109950602054596' '0.09584584087133408'
 '0.09443919360637665' '0.08899474143981934' '0.08330410718917847'
 '0.08069700002670288' '0.07768046855926514' '0.07736044377088547'
 '0.07603596150875092' '0.07199432700872421' '0.0713406503200531'
 '0.07082333415746689' '0.07003848999738693']"
DOID:2366,Primary retinal pigment epithelial (RPE) cells,"['ODC1' 'TIMP1' 'CYP1B1' 'EFEMP1' 'CCND2' 'CTSD' 'TGFBI' 'ARL6IP1' 'TCP1'
 'PABPC1' 'RPL17' 'ACO1' 'HNRNPAB' 'NPC2' 'ENPP2' 'EIF3A' 'BSG' 'VIM'
 'RPL3' 'EIF1']","['-0.05073149874806404' '-0.044841960072517395' '-0.04228878393769264'
 '-0.03758228197693825' '-0.03459067642688751' '-0.034144725650548935'
 '-0.03366955369710922' '-0.03173048794269562' '-0.030644966289401054'
 '-0.030188439413905144' '-0.029173612594604492' '-0.025752350687980652'
 '-0.025465458631515503' '-0.02458787150681019' '-0.024445192888379097'
 '-0.02342054434120655' '-0.023286931216716766' '-0.023149151355028152'
 '-0.022865189239382744' '-0.022560255602002144']","['IFIT1' 'IFIT2' 'IFI6' 'MX1' 'DDX58' 'STAT1' 'DDX60L' 'RSAD2' 'IFI44L'
 'USP41' 'GBP3' 'ZC3HAV1' 'RN7SL2' 'SLFN5' 'PARP14' 'IFIT3' 'HLA-B'
 'HLA-C' 'EIF2AK2' 'TAP1']","['0.3667808771133423' '0.36642760038375854' '0.22957196831703186'
 '0.1876477152109146' '0.18205392360687256' '0.17410852015018463'
 '0.1712973713874817' '0.14627788960933685' '0.13149791955947876'
 '0.12863215804100037' '0.1260470151901245' '0.12246963381767273'
 '0.12106972187757492' '0.1168840080499649' '0.10251547396183014'
 '0.09856238216161728' '0.09745260328054428' '0.08745843917131424'
 '0.08445873111486435' '0.07968884706497192']"
DOID:2378,CD4+ T cells Lymphocytes (sorted from PBMCs from monozygotic twin pairs discordant for RRMS),"['HBB' 'HBA2' 'RPS15' 'DCAF6' 'COX1' 'S100A8' 'LOC100289079' 'PABPC3'
 'VIPR2' 'HSPA1B' 'S100A9' 'IL1B' 'P2RY8' 'LYZ' 'UBA52' 'HSPA1A' 'PFKFB3'
 'NFKBIZ' 'HSPA6' 'RPS26']","['-0.2036643773317337' '-0.19166827201843262' '-0.1361159086227417'
 '-0.1287527084350586' '-0.12531253695487976' '-0.12448154389858246'
 '-0.11461998522281647' '-0.11257586628198624' '-0.10956188291311264'
 '-0.10555202513933182' '-0.09961025416851044' '-0.09877073764801025'
 '-0.08966727554798126' '-0.08764936029911041' '-0.07101725786924362'
 '-0.07073500007390976' '-0.06709428131580353' '-0.06607665866613388'
 '-0.06607665866613388' '-0.06554295122623444']","['RPS3A' 'RPS12' 'RPL24' 'JUNB' 'TUBA1A' 'RPS17' 'RPL41' 'RPL4' 'FAU'
 'RPL8' 'CCL4' 'TMSB4XP8' 'EEF1B2' 'TUBA1C' 'SNRPD2' 'RPS14P3' 'CD3D'
 'TIMP1' 'TNFAIP3' 'RPL12']","['0.1780146211385727' '0.1672039031982422' '0.13120408356189728'
 '0.11703873425722122' '0.10825808346271515' '0.09896469861268997'
 '0.0925586000084877' '0.09073801338672638' '0.08184996992349625'
 '0.08130951970815659' '0.0810486301779747' '0.07988618314266205'
 '0.07657290995121002' '0.07351551204919815' '0.07298944145441055'
 '0.07229804992675781' '0.07167397439479828' '0.07140820473432541'
 '0.07052423059940338' '0.06549297273159027']"
DOID:5409,Lung Tissue,"['AQP4' 'ADH1B' 'FMO2' 'ZNF766' 'SLC16A12' 'FLJ44379' 'SARS' 'CCL2'
 'CCL18' 'HMGCS2' 'RGS2' 'IGFBP7' 'BCAT2' 'ADH1C' 'CXCL10' 'CYYR1' 'RGS1'
 'CALCRL' 'SPARCL1' 'TKT']","['-0.211555615067482' '-0.1552564799785614' '-0.13990600407123566'
 '-0.1374349594116211' '-0.11550387740135193' '-0.10136742889881134'
 '-0.10026556253433228' '-0.090294249355793' '-0.0847693458199501'
 '-0.07963426411151886' '-0.07660359144210815' '-0.07473968714475632'
 '-0.0736885666847229' '-0.07203792035579681' '-0.07195673137903214'
 '-0.07129902392625809' '-0.07069404423236847' '-0.07064183056354523'
 '-0.07036256045103073' '-0.06951885670423508']","['RPS16' 'FAM71F2' 'PROM1' 'A2BP1' 'ASCL1' 'MGAM' 'GAGE10' 'FAM81A'
 'KCNJ15' 'RGR' 'FGF14' 'KRT8' 'CNTNAP2' 'ZNF781' 'RP11-35N6.1' 'TRIM9'
 'SLC8A3' 'ATP1A1' 'ACADS' 'BEX1']","['0.14426033198833466' '0.10163602232933044' '0.09336703270673752'
 '0.08252497017383575' '0.07314210385084152' '0.06551206856966019'
 '0.06299389153718948' '0.061452899128198624' '0.05523591861128807'
 '0.05351647362112999' '0.05268586054444313' '0.049689196050167084'
 '0.04895159602165222' '0.04536294564604759' '0.04484712332487106'
 '0.04456562548875809' '0.043336641043424606' '0.04230479151010513'
 '0.04105355963110924' '0.03887993469834328']"
DOID:12351,liver tissue,"['PCK1' 'HAMP' 'MT1X' 'COX1' 'ALDH2' 'ERRFI1' 'MT1F' 'MT1HL1' 'MT1E'
 'MT1H' 'MT2A' 'OAT' 'MAT1A' 'ADH1C' 'SLC38A2' 'TTR' 'BCHE' 'AKR1D1'
 'CEBPB' 'CES1']","['-0.23304732143878937' '-0.20195023715496063' '-0.1725742369890213'
 '-0.14160193502902985' '-0.1407155841588974' '-0.13271434605121613'
 '-0.12123201787471771' '-0.12121259421110153' '-0.11598034203052521'
 '-0.11228885501623154' '-0.10539309680461884' '-0.10312822461128235'
 '-0.09392856061458588' '-0.0885913223028183' '-0.08630907535552979'
 '-0.08029882609844208' '-0.08021238446235657' '-0.07807570695877075'
 '-0.07639329135417938' '-0.07456012070178986']","['FGL1' 'AKR1B10' 'CRP' 'GAPDH' 'SAA2' 'ALDH1A1' 'TM4SF4' 'ABCB4' 'FTL'
 'KRT18' 'TMSB4XP8' 'SERPINA3' 'RPL41' 'AKR1C3' 'LUM' 'RPS18' 'FGB'
 'RPL36A' 'PLA2G2A' 'PPIB']","['0.25152066349983215' '0.18188990652561188' '0.17715774476528168'
 '0.12967948615550995' '0.11855793744325638' '0.10981926321983337'
 '0.10508567839860916' '0.1022384762763977' '0.09407854825258255'
 '0.09382899105548859' '0.09203724563121796' '0.08792509883642197'
 '0.08519699424505234' '0.08337431401014328' '0.08320309221744537'
 '0.08037028461694717' '0.07753673195838928' '0.07648837566375732'
 '0.07645197212696075' '0.07583750784397125']"
DOID:1339,fibroblasts,"['PRSS23' 'NNMT' 'DPT' 'RPS15A' 'CLEC2B' 'RPL12' 'FOS' 'EEF2' 'RPL3'
 'RPL34' 'RPS4X' 'RPS4Y1' 'C1R' 'RPL7A' 'RPS16' 'RPL10A' 'RPL13A' 'PPAP2B'
 'RPS3' 'RPS27']","['-0.11041208356618881' '-0.10112723708152771' '-0.09959086030721664'
 '-0.09787238389253616' '-0.0944882184267044' '-0.09327483922243118'
 '-0.0928533598780632' '-0.09115640074014664' '-0.08791786432266235'
 '-0.08538958430290222' '-0.0840921625494957' '-0.08319997042417526'
 '-0.08084040135145187' '-0.07990121841430664' '-0.07924526184797287'
 '-0.07876134663820267' '-0.07846678048372269' '-0.07676426321268082'
 '-0.07411091029644012' '-0.07267037034034729']","['MMP1' 'NFKBIA' 'MMP3' 'RND3' 'CTSK' 'SERPINB2' 'COL6A3' 'FTH1' 'PFN1'
 'IGFBP4' 'IL6' 'HMOX1' 'HLA-B' 'SERPINE1' 'IER3' 'ID1' 'CEBPB' 'GREM1'
 'ACTB' 'GPNMB']","['0.30548107624053955' '0.1336846500635147' '0.11326257139444351'
 '0.10254772752523422' '0.10099639743566513' '0.10056862980127335'
 '0.09446796774864197' '0.09296182543039322' '0.0919695496559143'
 '0.09075616300106049' '0.08506045490503311' '0.08392532169818878'
 '0.08258875459432602' '0.07924588024616241' '0.07821356505155563'
 '0.0776284858584404' '0.07760251313447952' '0.07641351968050003'
 '0.07195145636796951' '0.07087157666683197']"
DOID:971,Tendons,"['THBS4' 'RPS4Y1' 'MMP3' 'PLA2G2A' 'CYP21A2' 'HTRA1' 'GABARAPL3' 'VCAM1'
 'ND6' 'GPX3' 'CRYAB' 'COX1' 'C4orf46' 'BOLA2B' 'PLVAP' 'COX7A1' 'FHL1'
 'TXNIP' 'CCDC80' 'RPL38']","['-0.24475722014904022' '-0.19414563477039337' '-0.1594170480966568'
 '-0.13985495269298553' '-0.12461045384407043' '-0.10742009431123734'
 '-0.09368712455034256' '-0.0814908966422081' '-0.07980272173881531'
 '-0.07869517803192139' '-0.07643162459135056' '-0.06963677704334259'
 '-0.0685480386018753' '-0.06544696539640427' '-0.06483812630176544'
 '-0.0607464574277401' '-0.059258833527565' '-0.05892418697476387'
 '-0.05812014266848564' '-0.05753041058778763']","['TMSB4XP8' 'COL6A3' 'ACTG1' 'ACTB' 'FTL' 'ASPN' 'PTMA' 'CDR1' 'CTGF'
 'TUBA1A' 'LGALS1' 'TGFBI' 'RPL3' 'SPARC' 'RPL21' 'GJA1' 'RPS11' 'ADIRF'
 'COL1A2' 'RPS8']","['0.14125116169452667' '0.13462361693382263' '0.1345674842596054'
 '0.12926609814167023' '0.11799650639295578' '0.11660416424274445'
 '0.1129532977938652' '0.1091332882642746' '0.1046532616019249'
 '0.09071358293294907' '0.08923569321632385' '0.08015015721321106'
 '0.07938000559806824' '0.07825974375009537' '0.07551594078540802'
 '0.07233626395463943' '0.07112261652946472' '0.07088468223810196'
 '0.07071512937545776' '0.069277323782444']"
DOID:8106,hematopoietic CD34+ stem cells,"['MPO' 'ELANE' 'PRTN3' 'AZU1' 'RNASE2' 'HBB' 'PRG2' 'SRGN' 'CLC' 'CTSG'
 'FOS' 'LYZ' 'IGLL1' 'CXCR4' 'FOSB' 'TUBA1B' 'RNASE3' 'TUBB' 'PLAC8'
 'RPS23']","['-0.24534957110881805' '-0.24069860577583313' '-0.1875760704278946'
 '-0.1601954847574234' '-0.15382210910320282' '-0.14706750214099884'
 '-0.13643094897270203' '-0.12967956066131592' '-0.11325632035732269'
 '-0.11014218628406525' '-0.10900086909532547' '-0.10798172652721405'
 '-0.10715672373771667' '-0.10670183598995209' '-0.10299067199230194'
 '-0.10116728395223618' '-0.09432367235422134' '-0.09415502846240997'
 '-0.0921134278178215' '-0.08947811275720596']","['IFITM2' 'LAPTM4B' 'TXNIP' 'HLA-DRB5' 'FAM117A' 'HLA-DRB4' 'HLA-DRB1'
 'IFITM1' 'GOLGA8B' 'IFITM3' 'DLK1' 'GOLGA8H' 'PTTG1IP' 'HIST1H2BK'
 'HLA-G' 'HLA-B' 'HLA-C' 'HIST2H2AA4' 'GUCY1A3' 'HLA-A']","['0.09659535437822342' '0.0911511778831482' '0.08324740082025528'
 '0.07980264723300934' '0.07632286101579666' '0.07473873347043991'
 '0.07242567092180252' '0.06725656986236572' '0.06256967782974243'
 '0.06007937714457512' '0.05876130983233452' '0.05864889919757843'
 '0.05542954429984093' '0.053779035806655884' '0.05364301800727844'
 '0.05184393376111984' '0.051357366144657135' '0.0495203398168087'
 '0.04792661964893341' '0.04623094201087952']"
DOID:1596,Prefrontal Cortex,"['DMTN' 'CA11' 'TUBB4B' 'TUBB3' 'FTH1P5' 'CLSTN3' 'SNURF' 'COX7A2' 'DNM1'
 'TMSB4X' 'RPSAP58' 'AP2B1' 'YWHAB' 'STMN2' 'RPS3' 'FKBP4' 'ATP1B1'
 'STX1A' 'RPL30' 'HPCA']","['-0.14048916101455688' '-0.1306314915418625' '-0.13051985204219818'
 '-0.1266413778066635' '-0.12656813859939575' '-0.11511438339948654'
 '-0.1119086965918541' '-0.10993824154138565' '-0.10935589671134949'
 '-0.10160192102193832' '-0.08978431671857834' '-0.08730041980743408'
 '-0.08449529856443405' '-0.07731377333402634' '-0.07396548986434937'
 '-0.073954276740551' '-0.06840702146291733' '-0.0677146390080452'
 '-0.067361980676651' '-0.06534619629383087']","['GFAP' 'HBA2' 'HBB' 'HMGN2' 'IFITM3' 'RPL37A' 'ENC1' 'EEF1A1' 'PTGDS'
 'FAM107A' 'LOC100505584' 'RTN4' 'HSP90AA1' 'CLU' 'MBP' 'MT1E' 'VIM'
 'GABARAP' 'TUBA1B' 'TUBB2B']","['0.18145887553691864' '0.17186260223388672' '0.16864776611328125'
 '0.1370123326778412' '0.1310751885175705' '0.11348526924848557'
 '0.10933661460876465' '0.10251154750585556' '0.1016845628619194'
 '0.10003746300935745' '0.09496204555034637' '0.09470299631357193'
 '0.09218153357505798' '0.08525940030813217' '0.08158189058303833'
 '0.0788358673453331' '0.07623669505119324' '0.07370037585496902'
 '0.06720956414937973' '0.06564504653215408']"
DOID:657,Adrenal gland,"['CYP11B1' 'DLK1' 'APOC1' 'IGHV4-31' 'IGHA2' 'C7' 'FOS' 'NGFRAP1' 'C3'
 'SGK1' 'ZFP36' 'UBC' 'CYP11A1' 'CHGA' 'PEBP1' 'CYB561A3' 'AOX1' 'H19'
 'CHGB' 'IER2']","['-0.16698861122131348' '-0.1661185324192047' '-0.16411826014518738'
 '-0.14978711307048798' '-0.13162869215011597' '-0.12340331077575684'
 '-0.12025011330842972' '-0.1161741316318512' '-0.10906928777694702'
 '-0.10576299577951431' '-0.10096976161003113' '-0.10077429562807083'
 '-0.09535140544176102' '-0.09525860100984573' '-0.08792766183614731'
 '-0.08731620013713837' '-0.08356976509094238' '-0.07835084199905396'
 '-0.07697319239377975' '-0.07582162320613861']","['CYP11B2' 'CYP21A2' 'RPL34' 'SH3KBP1' 'RPL9' 'COX1' 'MT2A' 'HSD3B2'
 'COX2' 'ND2' 'FTL' 'COX3' 'GAPDH' 'RPL39' 'PCP4' 'NPTX2' 'LY6E' 'ATP6'
 'TMA7' 'SLC47A1']","['0.30941396951675415' '0.18268941342830658' '0.1730049103498459'
 '0.17202386260032654' '0.14803732931613922' '0.13352754712104797'
 '0.12809251248836517' '0.1242825984954834' '0.11162307113409042'
 '0.10006328672170639' '0.0995253324508667' '0.09196853637695312'
 '0.09032135456800461' '0.08970483392477036' '0.08852103352546692'
 '0.07081329077482224' '0.06965087354183197' '0.05754596367478371'
 '0.054893895983695984' '0.054195091128349304']"
DOID:3498,Pancreatic tissue,"['REG1A' 'GCG' 'HBA2' 'SSR4' 'MT1HL1' 'SLC25A5' 'PRDX4' 'EEF1B2' 'DEFA5'
 'RGS2' 'AMY2B' 'RPS5' 'PGA4' 'ERP27' 'MT2A' 'GKN1' 'ND2' 'MT1X' 'DEFA6'
 'RPL21']","['-0.14903758466243744' '-0.11973370611667633' '-0.08884090185165405'
 '-0.08101257681846619' '-0.06941363215446472' '-0.0643596202135086'
 '-0.06155043840408325' '-0.058681294322013855' '-0.05343020707368851'
 '-0.05100717768073082' '-0.04904823377728462' '-0.04660651832818985'
 '-0.04587176814675331' '-0.043927401304244995' '-0.04381195083260536'
 '-0.042123254388570786' '-0.04143916442990303' '-0.040707215666770935'
 '-0.040541090071201324' '-0.04048949107527733']","['PPY' 'TIMP1' 'TMSB10' 'SPINK1' 'IGHV4-31' 'MMP7' 'ACTB' 'COL1A2' 'CYAT1'
 'C3' 'LGALS1' 'LUM' 'GAPDH' 'LDHA' 'SFRP2' 'TMSB4XP8' 'HLA-B' 'COL6A3'
 'HLA-DRB5' 'HLA-A']","['0.24156560003757477' '0.22519341111183167' '0.21739397943019867'
 '0.1913256198167801' '0.18258275091648102' '0.1456230729818344'
 '0.14332425594329834' '0.1390022486448288' '0.1325502097606659'
 '0.1259562075138092' '0.11802411824464798' '0.11762665212154388'
 '0.10994192957878113' '0.10388801991939545' '0.10293975472450256'
 '0.1011432334780693' '0.10032682120800018' '0.09596023708581924'
 '0.09577910602092743' '0.09343840926885605']"
DOID:0060074,Mammary gland,"['HBA2' 'CFD' 'PLIN1' 'IGHA2' 'ADIRF' 'LPL' 'LEP' 'FABP4' 'CAV1' 'AOC3'
 'KRT14' 'S100A4' 'PLIN4' 'IGJ' 'GPX3' 'G0S2' 'ADIPOQ' 'ND2' 'TXNIP'
 'ALDH2']","['-0.3337283432483673' '-0.27901941537857056' '-0.18618527054786682'
 '-0.1494297981262207' '-0.14895984530448914' '-0.14681261777877808'
 '-0.12243372946977615' '-0.11954958736896515' '-0.11222860962152481'
 '-0.1016969308257103' '-0.09724988043308258' '-0.09575804322957993'
 '-0.09564194083213806' '-0.09156626462936401' '-0.09015855193138123'
 '-0.08831582218408585' '-0.08799489587545395' '-0.08478596806526184'
 '-0.07902179658412933' '-0.0693218782544136']","['IGHV4-31' 'PIP' 'MUCL1' 'TMSB10' 'TMSB4XP8' 'H3F3AP4' 'COL1A2' 'AZGP1'
 'MIF' 'SFRP2' 'COL6A3' 'EPCAM' 'CTHRC1' 'S100A7' 'RPL19' 'SRP9' 'CD24'
 'ZG16B' 'COX6C' 'HIST1H2BK']","['0.15757547318935394' '0.14218613505363464' '0.13599459826946259'
 '0.12557648122310638' '0.11851071566343307' '0.11573470383882523'
 '0.11009713262319565' '0.1065167486667633' '0.10532447695732117'
 '0.10414676368236542' '0.09993142634630203' '0.09058117866516113'
 '0.08886032551527023' '0.08726052939891815' '0.0758897215127945'
 '0.07015873491764069' '0.06915675103664398' '0.0624643974006176'
 '0.06052791699767113' '0.06037798523902893']"
DOID:8534,Esophageal Tissue,"['RPS23' 'RPL23A' 'RPL13A' 'ALDOA' 'RPL30' 'TUBA1C' 'TUBA1B' 'RPL34'
 'CALB1' 'RPL41' 'RPS20' 'PABPC1' 'RPS15' 'RPL32' 'EEF1A1' 'LDHB' 'RPL39'
 'RPL8' 'KRT19' 'UBC']","['-0.1965436041355133' '-0.1669507473707199' '-0.14156508445739746'
 '-0.1119345873594284' '-0.110835500061512' '-0.1070307046175003'
 '-0.10279182344675064' '-0.10150855779647827' '-0.10092026740312576'
 '-0.0979519709944725' '-0.0974806547164917' '-0.09656786918640137'
 '-0.09532780200242996' '-0.09310505539178848' '-0.09017016738653183'
 '-0.08857538551092148' '-0.0880158469080925' '-0.08500752598047256'
 '-0.0832088515162468' '-0.08009310066699982']","['CTGF' 'KRT17' 'TNFRSF12A' 'IER2' 'FOSL1' 'ODC1' 'FOSB' 'CXCL8' 'LAMB3'
 'CYR61' 'TUFT1' 'IER3' 'SLC20A1' 'EPHA2' 'SNAI2' 'KLF10' 'ATF3' 'TIPARP'
 'DUSP5' 'MT1E']","['0.2972315847873688' '0.17065507173538208' '0.13011768460273743'
 '0.1256924271583557' '0.11668325960636139' '0.11197079718112946'
 '0.1021435484290123' '0.10025785863399506' '0.09561196714639664'
 '0.0937877893447876' '0.09168640524148941' '0.08818099647760391'
 '0.08469513803720474' '0.07556163519620895' '0.071540467441082'
 '0.07075008749961853' '0.06804567575454712' '0.0638713613152504'
 '0.06274236738681793' '0.0624341145157814']"
